x,vectime,listtime,vecgain
642,317900,629933,312033
643,252000,655133,403133
644,238166,644566,406400
645,286833,587466,300633
646,209366,641900,432534
647,238000,670100,432100
648,317800,564766,246966
649,212133,691100,478967
650,383233,755766,372533
651,328533,602600,274067
652,427433,690400,262967
653,296033,541633,245600
654,231466,523066,291600
655,197100,690233,493133
656,316233,624200,307967
657,299400,745500,446100
658,451733,698100,246367
659,235033,681466,446433
660,204166,574166,370000
661,191866,680266,488400
662,330266,650866,320600
663,231900,684233,452333
664,215900,618900,403000
665,209400,522400,313000
666,249866,626400,376534
667,298133,672800,374667
668,399500,798200,398700
669,353800,703766,349966
670,247833,722000,474167
671,231400,567900,336500
672,203200,528766,325566
673,222700,565433,342733
674,326633,739966,413333
675,254800,651366,396566
676,366866,751033,384167
677,315166,695500,380334
678,388866,818866,430000
679,416733,781666,364933
680,379900,1005233,625333
681,536133,767500,231367
682,332066,706866,374800
683,417433,841133,423700
684,373933,695466,321533
685,445866,841733,395867
686,388066,823333,435267
687,419733,1020233,600500
688,339833,898300,558467
689,405033,1230800,825767
690,435566,734066,298500
691,637966,787333,149367
692,419766,853866,434100
693,455566,813900,358334
694,322633,849000,526367
695,364866,906666,541800
696,685733,783100,97367
697,361500,781833,420333
698,326500,832633,506133
699,1533833,789333,-744500
700,359733,1065200,705467
701,389833,1226266,836433
702,384666,1028666,644000
703,360733,926666,565933
704,410666,888166,477500
705,506233,913200,406967
706,385066,922300,537234
707,401366,716733,315367
708,403466,801533,398067
709,302366,775200,472834
710,455300,853800,398500
711,300366,894266,593900
712,422800,868866,446066
713,301733,726733,425000
714,316233,634800,318567
715,236700,786200,549500
716,271166,892266,621100
717,370866,702233,331367
718,350066,746233,396167
719,252166,681900,429734
720,394233,799166,404933
721,270200,824233,554033
722,403833,722566,318733
723,270333,669933,399600
724,271500,710566,439066
725,300100,637533,337433
726,340800,689866,349066
727,243900,757766,513866
728,244166,819800,575634
729,233600,802766,569166
730,229933,636600,406667
731,328366,778166,449800
732,233233,730666,497433
733,215200,768400,553200
734,344966,729733,384767
735,343200,711700,368500
736,252033,721300,469267
737,427133,890066,462933
738,520700,952733,432033
739,603466,904200,300734
740,538700,1308100,769400
741,3162166,856833,-2305333
742,369833,2434300,2064467
743,396200,891966,495766
744,367533,946200,578667
745,441266,893500,452234
746,363766,886966,523200
747,1138033,866700,-271333
748,445766,1569500,1123734
749,621733,1155033,533300
750,477400,902766,425366
751,413066,888033,474967
752,332066,844133,512067
753,394633,847800,453167
754,305100,840333,535233
755,429366,954666,525300
756,451666,979566,527900
757,511400,990966,479566
758,417433,1084000,666567
759,346000,952633,606633
760,392900,976933,584033
761,369766,948066,578300
762,437566,944666,507100
763,370333,791133,420800
764,404566,1098366,693800
765,466300,1000500,534200
766,373100,883400,510300
767,459033,898000,438967
768,319000,747000,428000
769,395666,944200,548534
770,336000,837900,501900
771,326933,977866,650933
772,318633,941433,622800
773,463633,836100,372467
774,272300,902733,630433
775,385566,934100,548534
776,479466,969466,490000
777,392666,1034666,642000
778,399400,959733,560333
779,363466,972166,608700
780,279833,834400,554567
781,390833,918900,528067
782,451233,961166,509933
783,442900,865433,422533
784,390900,927700,536800
785,395766,849766,454000
786,273133,939366,666233
787,433633,1007600,573967
788,414233,1006200,591967
789,479133,997033,517900
790,408466,955400,546934
791,337800,887933,550133
792,398666,992366,593700
793,481700,902100,420400
794,449533,995433,545900
795,389366,881600,492234
796,259900,858366,598466
797,417300,864233,446933
798,303900,906833,602933
799,290333,853733,563400
800,368400,886000,517600
801,392600,806166,413566
802,431766,866066,434300
803,297266,821866,524600
804,367133,806333,439200
805,244500,823600,579100
806,311466,861300,549834
807,328900,929566,600666
808,411733,873333,461600
809,465066,1025266,560200
810,268466,920000,651534
811,409666,942133,532467
812,463800,899933,436133
813,261900,796400,534500
814,356966,828600,471634
815,287800,874233,586433
816,397200,865933,468733
817,370700,959433,588733
818,414600,890800,476200
819,249700,756033,506333
820,310133,882200,572067
821,325266,826566,501300
822,239933,775700,535767
823,370233,880533,510300
824,306733,821533,514800
825,353500,877066,523566
